//T		//value of the setpoin to change the temperature 

100	20	0.084
120	20	0.102
140	20	0.12
160	20	0.138
180	20	0.156
200	20	0.174
220	20	0.192
240	20	0.21
260	20	0.228
280	20	0.246
300	20	0.264
320	20	0.282
340	20	0.3
360	20	0.318
380	20	0.336
400	20	0.354


420	20	0.372
440	20	0.39
460	20	0.408
480	20	0.426
500	20	0.444
520	20	0.462
540	20	0.48
560	20	0.498
580	20	0.516
600	20	0.534
620	20	0.552
640	20	0.57
660	20	0.588
680	20	0.606
700	20	0.624

720	20	0.642
740	20	0.66
760	20	0.678
780	20	0.696
800	20	0.714
820	20	0.732
840	20	0.75
860	20	0.768
